#######################
##
## License goes here
##
#######################
a	A
rolzen	Rolts@n
roman	Roma:n
romantesch	RomAnt@S
romarin	RomARE~:
rommel	Rom@l
rondel	Rond@l
ronderëm	Rond@R@m
ronke	RoNk@
ronken	RoNk@n
ronn	Ron
ronschel	RonS@l
ronschele	RonS@l@
ronschelen	RonS@l@n
rosa	Ro:za:
rose	Ro:z@
rosen	Ro:z@n
roserei	Roz@RAI
rot	Ro:t
rou	R@U
roudelzeg	R@Ud@lts@s\
roue	R@U@
roueg	R@U@s\
rouen	R@U@n
rouer	R@U6
roulad	Rula:t
roulade	Rula:d@
rouladen	Rula:d@n
roulotte	Rulot
rous	R@Us
rouscht	R@USt
rouse	R@Uz@
rousekranz	R@Uz@kRAnts
rousen	R@Uz@n
rout	R@Ut
routine	Rutin
rucksak	Rukza:k
rücksicht	Rykzis\t
rudder	Rud6
rudderboot	Rud6bo:t
ruddere	Rud@R@
rudderen	Rud@R@n
ruffe	Ruf@
ruffen	Ruf@n
rugby	Rygbi:
ruin	Ru:i:n
rull	Rul
rulle	Rul@
rullen	Rul@n
rumänesch	RumE:n@S
rumm	Rum
rüssel	Rys@l
russesch	Rus@S
rutschbahn	RutSba:n
rutsche	RutS@
rutschen	RutS@n
rutt	Rut
saach	za:X
saaft	za:ft
sabbelduch	zAb@lduX
sabbele	zAb@l@
sabbelen	zAb@l@n
sächlech	z{s\l@s\
sachlech	zAXl@s\
säfteg	z{ft@s\
saier	zAI6
säin	z{:In
saison	sE:zA~:
säit	z{:It
sak	za:k
sakgaass	za:kga:s
salef	za:l@f
sall	zAl
sällche	z{ls\@
sällchen	z{ls\@n
salon	sAlA~:
salz	zAlts
salzdëppche	zAltsd@ps\@
salzdëppchen	zAltsd@ps\@n
salze	zAlts@
salzeg	zAlts@s\
salzen	zAlts@n
sam	za:m
samett	za:m{t
sammele	zAm@l@
sammelen	zAm@l@n
samschdeg	zAmSd@s\
samschdes	zAmSd@s
sand	zAnt
sandal	zAnda:l
sandauer	zAndAU6
sandbuerg	zAntbu6s\
sandkëscht	zAntk@St
sandwich	s{ntwitS
sange	zAN@
sangen	zAN@n
sänger	z{N6
sängerin	z{N@Rin
sat	za:t
sau	z{:U
sauer	zAU6
sauerampel	zAU6Amp@l
sauerkraut	zAU6kRAUt
sauermous	zAU6m@Us
sauerstoff	zAU6Stof
saufe	z{:Uf@
saufen	z{:Uf@n
sauna	zAUna:
saz	za:ts
schaardeg	Sa:Rd@s\
schaarf	Sa:Rf
schaaschtech	Sa:St@s\
schach	SAX
schäerft	SE:6ft
schaf	Sa:f
schafe	Sa:f@
schafen	Sa:f@n
schäffche	S{fs\@
schäffchen	S{fs\@n
schaffdag	SAfda:X
schäffe	S{f@
schaffe	SAf@
schäffen	S{f@n
schaffen	SAf@n
schaffert	SAf6t
schaime	SAIm@
schaimen	SAIm@n
schäin	S{:In
schäissdreck	S{:IsdR{k
schäisse	S{:Is@
schäissen	S{:Is@n
schal	Sa:l
schale	Sa:l@
schalen	Sa:l@n
schallekseg	SAleks@s\
schalter	SAlt6
schampes	SAmp@s
schan	Sa:n
schank	SANk
schapp	SAp
schappe	SAp@
schappeg	SAp@s\
schappen	SAp@n
schatz	SAts
schätze	S{ts@
schätzen	S{ts@n
schätzung	S{tsuN
schauer	SAU6
schauere	SAU@R@
schaueren	SAU@R@n
schaukel	SAUk@l
schaukele	SAUk@l@
schaukelen	SAUk@l@n
schaukelpäerd	SAUk@lpE:6t
schaum	S{:Um
schaumläffel	S{:Uml{f@l
schauspiller	SAUSpil6
schauspillerin	SAUSpil@Rin
schausseg	S{:Us@s\
scheck	S{k
scheckbuch	S{kbuX
schécke	Sek@
schécken	Sek@n
schëdde	S@d@
schëdden	S@d@n
scheede	Se:d@
scheeden	Se:d@n
scheedung	Se:duN
schëff	S@f
schei	SAI
scheier	SAI6
schéier	S3I6
schéifer	S3If6
schéin	S3In
schéinheet	S3Inhe:t
scheinwerfer	SAInvERf6
schéissbud	S3Isbu:t
schéisse	S3Is@
schéissen	S3Is@n
schëld	S@lt
schell	S{l
schelle	S{l@
schellen	S{l@n
schëller	S@l6
schénge	SeN@
schéngen	SeN@n
schenke	S{Nk@
schenken	S{Nk@n
schëpp	S@p
schëppche	S@ps\@
schëppchen	S@ps\@n
schi	Si:
schibengel	Si:b{N@l
schick	Sik
schicksal	Sikza:l
schiedlech	Si@dl@s\
schiele	Si@l@
schielen	Si@l@n
schierbel	Si6b@l
schierbele	Si6b@l@
schierbelen	Si6b@l@n
schiertech	Si6t@s\
schiet	Si@t
schif	Si:f
schifer	Si:f6
schildkröt	SiltkR2:t
schimmeg	Sim@s\
schimmeleg	Sim@l@s\
schimt	Simt
schinn	Sin
schippelche	Sip@ls\@
schippelchen	Sip@ls\@n
schlaang	Sla:N
schlagsahn	Sla:Xsa:n
schläiche	Sl{:Is\@
schläichen	Sl{:Is\@n
schläife	Sl{:If@
schläifen	Sl{:If@n
schlaksert	SlAks6t
schlamm	SlAm
schlank	SlANk
schlapp	SlAp
schlass	SlAs
schlässer	Sl{s6
schlau	SlAU
schlauch	Sl{:UX
schlecht	Sl{s\t
schléck	Slek
schlécke	Slek@
schlécken	Slek@n
schleefe	Sle:f@
schleefen	Sle:f@n
schleek	Sle:k
schleekenhaische	Sle:k@nhAIsj@
schleekenhaischen	Sle:k@nhAIsj@n
schleidere	SlAId@R@
schleideren	SlAId@R@n
schleier	SlAI6
schléif	Sl3If
schléifer	Sl3If6
schleis	SlAIs
schléiwe	Sl3Iv@
schléiwen	Sl3Iv@n
schléiwenheck	Sl3Iv@nh{k
schlëmm	Sl@m
schlëssel	Sl@s@l
schlësselbee	Sl@s@lbe:
schlësselbeen	Sl@s@lbe:n
schlëssellach	Sl@s@llAX
schliisslech	Sli:sl@s\
schlips	Slips
schlitt	Slit
schlittschong	SlitSoN
schlitz	Slits
schloe	Slo:@
schloen	Slo:@n
schlof	Slo:f
schlofe	Slo:f@
schlofen	Slo:f@n
schloff	Slof
schlofkap	Slo:fka:p
schlofkummer	Slo:fkum6
schlofsak	Slo:fza:k
schlofzëmmer	Slo:fts@m6
schloper	Slo:p6
schloree	SloRe:
schloreen	SloRe:n
schluecht	Slu@s\t
schluechte	Slu@s\t@
schluechten	Slu@s\t@n
schluechthaus	Slu@s\th{:Us
schluet	Slu@t
schlupp	Slup
schluppe	Slup@
schluppen	Slup@n
schluss	Slus
schmaache	Sma:X@
schmaachen	Sma:X@n
schmalz	SmAlts
schmeier	SmAI6
schmëlze	Sm@lts@
schmëlzen	Sm@lts@n
schmier	Smi6
schmiere	Smi@R@
schmieren	Smi@R@n
schmotzeg	Smots@s\
schmuddeleg	Smud@l@s\
schmuel	Smu@l
schmuelef	Smu@l@f
schmull	Smul
schmunze	Smunts@
schmunzen	Smunts@n
schnaarche	Sna:Rs\@
schnaarchen	Sna:Rs\@n
schnäize	Sn{:Its@
schnäizen	Sn{:Its@n
schnape	Sna:p@
schnapen	Sna:p@n
schnapp	SnAp
schnaps	SnAps
schnatt	SnAt
schnauer	SnAU6
schnauz	Sn{:Uts
schneekeg	Sne:k@s\
schnéi	Sn3I
schnéibiesem	Sn3Ibi@z@m
schneide	SnAId@
schneiden	SnAId@n
schneider	SnAId6
schneie	SnAI@
schneien	SnAI@n
schnéiflack	Sn3IflAk
schnéiklatz	Sn3IklAts
schnéimännche	Sn3Im{ns\@
schnéimännchen	Sn3Im{ns\@n
schnéiwick	Sn3Ivik
schnell	Sn{l
schnëppel	Sn@p@l
schnëss	Sn@S
schnësse	Sn@s@
schnëssen	Sn@s@n
schnëtze	Sn@ts@
schnëtzen	Sn@ts@n
schniewel	Sni@v@l
schnitzel	Snits@l
schnoffele	Snof@l@
schnoffelen	Snof@l@n
schnouer	Sn@U6
schnuddel	Snud@l
schnuddelhong	Snud@lhoN
schnurres	SnuR@s
scho	So
schock	Sok
schockela	Sok@la:
schof	So:f
schokant	SokAnt
schold	Solt
schong	SoN
schonggréisst	SoNgR3Ist
schongläffel	SoNl{f@l
schongnummer	SoNnum6
schongstréckel	SoNStRek@l
schonn	Son
schossel	Sos@l
schoul	S@Ul
schoulmeeschter	S@Ulme:St6
schoulsak	S@Ulza:k
schoune	S@Un@
schounen	S@Un@n
schouschter	S@USt6
schräiner	SR{:In6
schratt	SRAt
schrauf	SRAUf
schraufstack	SRAUfStAk
schrauwe	SRAUv@
schrauwemudder	SRAUv@mud6
schrauwen	SRAUv@n
schrauwenzéier	SRAUv@nts3I6
schreck	SR{k
schrécke	SRek@
schrécken	SRek@n
schrecklech	SR{kl@s\
schrëft	SR@ft
schrëftlech	SR@ftl@s\
schrëftsteller	SR@ftSt{l6
schreifdësch	SRAIfd@S
schreifmaschinn	SRAIfmASin
schréips	SR3Ips
schréipse	SR3Ips@
schréipsen	SR3Ips@n
schreiwe	SRAIv@
schreiwen	SRAIv@n
schro	SRo:
schrott	SRot
schrubbe	SRub@
schrubben	SRub@n
schrubber	SRub6
schrumm	SRum
schubkar	Subka:R
schudder	Sud6
schuddere	Sud@R@
schudderen	Sud@R@n
schueberfouer	Su@b6f@U6
schued	Su@t
schuede	Su@d@
schueden	Su@d@n
schuel	Su@l
schüler	Sy:l6
schülerin	Sy:l@Rin
schumme	Sum@
schummen	Sum@n
schupp	Sup
schutzblech	Sutsbl{s\
schütze	Syts@
schützen	Syts@n
schwaach	Swa:X
schwaachheet	Swa:Xhe:t
schwaarz	Swa:Rts
schwäche	Sw{s\@
schwächen	Sw{s\@n
schwächt	Sw{s\t
schwäerme	SwE:6m@
schwäermen	SwE:6m@n
schwäin	Sw{:In
schwäistall	Sw{:IStAl
schwäiz	Sw{:Its
schwammbox	SwAmboks
schwamme	SwAm@
schwammen	SwAm@n
schwamp	SwAmp
schwan	Swa:n
schwanz	SwAnts
schwätze	Sw{ts@
schwätzen	Sw{ts@n
schwedesch	Swe:d@S
schweess	Swe:s
schweesse	Swe:s@
schweessen	Swe:s@n
schwéier	Sw3I6
schwéiereltere	Sw3I6{lt@R@
schwéierelteren	Sw3I6{lt@R@n
schwéierleit	Sw3I6lAIt
schwéiermamm	Sw3I6mAm
schwéierpapp	Sw3I6pAp
schwéiesch	Sw3I@S
schwëlle	Sw@l@
schwëllen	Sw@l@n
schwemm	Sw{m
schwëmmer	Sw@m6
schwéngefleesch	SweN@fle:S
schwéngerei	SweN@RAI
schwéngskotlett	SweNskotl{t
schwenke	Sw{Nk@
schwenken	Sw{Nk@n
schwëster	Sw@st6
schwier	Swi6
schwiere	Swi@R@
schwiereg	Swi:R@s\
schwieregkeet	Swi:R@s\ke:t
schwieren	Swi@R@n
schwiewe	Swi@v@
schwiewen	Swi@v@n
schwoer	Swo:6
schwonk	SwoNk
scout	skAUt
se	z@
sech	z@s\
séchel	z@s\@l
sécher	z@s\6
sécherheet	z@s\6he:t
sécherheetsglas	z@s\6he:tsgla:s
sécherheetsnetz	z@s\6he:tsn{ts
sécherheetsrimm	z@s\6he:tsRim
sechs	z{ks
sechste	z{kst@
sechsten	z{kst@n
sechzeg	z{s\ts@s\
séckche	zeks\@
séckchen	zeks\@n
see	ze:
seeche	ze:s\@
seechen	ze:s\@n
seechomes	ze:z\o:m@s
seeën	ze:@n
seef	ze:f
seefe	ze:f@
seefen	ze:f@n
seefepolver	ze:f@polf6
seel	ze:l
seeldänzer	ze:ld{nts6
seele	ze:l@
seelen	ze:l@n
seelsprange	ze:lSpRAN@
seelsprangen	ze:lSpRAN@n
seemiel	ze:mi@l
seen	ze:n
seene	ze:n@
seenen	ze:n@n
sëff	z@f
sëffer	z@f6
segel	ze:z\@l
segelboot	ze:z\@lbo:t
segele	ze:z\@l@
segelen	ze:z\@l@n
seguer	z@gu6
séi	z3I
seibecke	zAIb{k@
seibecken	zAIb{k@n
seid	zAIt
séie	z3I@
séien	z3I@n
séier	z3I6
séihond	z3Ihont
séikrank	z3IkRANk
séil	z3Il
séiss	z3Is
séiwaasser	z3Iva:s6
sekonn	z@kon
sekretär	s@kRetE:R
sekretariat	s@kRetARja:t
sekretärin	s@kRetE:Rin
sëllech	z@l@s\
selwer	z{lv6
sëlwer	z@lv6
sëndege	z@nd@z\@
sëndegen	z@nd@z\@n
seng	zeN
sënn	z@n
september	z{ptemb6
serie	seRi:
seriö	s{Rj2:
serveuse	sERv2:s
service	sERvis
servicer	sERvis6
sëtz	z@ts
setze	z{ts@
sëtze	z@ts@
setzen	z{ts@n
sëtzen	z@ts@n
sëtzung	z@tsuN
seufze	zoIfts@
seufzen	zoIfts@n
short	SORt
si	zi
si	zi:
siche	zis\@
sichen	zis\@n
sickere	zik@R@
sickeren	zik@R@n
siechzeg	zi@s\ts@s\
siechzéng	zi@s\tseN
sief	zi@f
siff	zif
siffe	zif@
siffen	zif@n
sinistréiert	sinistR3I6t
sinn	zin
sireen	siRe:n
sirup	siRup
siwe	zi:v@
siwen	zi:v@n
siwente	zi:v@nt@
siwenten	zi:v@nt@n
siweschléifer	zi:v@Sl3If6
siwwenzeg	ziv@nts@s\
siwwenzéng	ziv@ntseN
skizz	skits
soe	zo:@
soen	zo:@n
solde	sold@
solden	sold@n
solle	zol@
sollen	zol@n
som	zo:m
sonn	zon
sonndeg	zond@s\
sonndes	zond@s
sonneg	zon@s\
sonneprabbeli	zon@pRAb@li:
sonnestéch	zon@St@s\
soss	zos
sou	z@U
soubal	z@Uba:l
sougenannt	z@Ug@nAnt
souguer	z@Ugu6
soutien	sutjE~:
souvill	z@Ufil
souwisou	z@Uviz@U
spaass	Spa:s
spaasse	Spa:s@
spaasseg	Spa:s@s\
spaassen	Spa:s@n
spachtel	SpAXt@l
spackelter	SpAk@lt6
spadséiere	SpAdz3I@R@
spadséieren	SpAdz3I@R@n
spadséiergank	SpAdz3I6gANk
spaghetti	SpAg{ti:
späicher	Sp{:Is\6
späize	Sp{:Its@
späizen	Sp{:Its@n
spane	Spa:n@
spanen	Spa:n@n
spann	SpAn
spanne	SpAn@
spannen	SpAn@n
spannend	SpAn@nt
spannung	SpAnuN
späre	SpE:R@
spären	SpE:R@n
spargel	SpARz\@l
spatz	SpAts
spaut	Sp{:Ut
spaweck	Spa:v{k
specht	Sp{s\t
speck	Sp{k
speis	SpAIs
spéit	Sp3It
spéitstens	Sp3Itst@ns
spektiv	Sp{kti:f
spéngel	SpeN@l
spéngele	SpeN@l@
spéngelen	SpeN@l@n
spënnche	Sp@ns\@
spënnchen	Sp@ns\@n
spëtzbouf	Sp@tsb@Uf
spëtze	Sp@ts@
spëtzen	Sp@ts@n
spëtznumm	Sp@tsnum
spëtzt	Sp@tst
spezialist	Spe:tsjAlist
spezifesch	Spetsi:f@S
spidol	Spido:l
spiecht	Spi@s\t
spiere	Spi:R@
spieren	Spi:R@n
spigel	Spiz\@l
spigelee	Spiz\@le:
spill	Spil
spillbuttek	Spilbutek
spille	Spil@
spillen	Spil@n
spillplaz	Spilpla:ts
spillsaach	Spilza:X
spinat	Spina:t
spioun	Spj@Un
spläiter	Spl{:It6
spléck	Splek
splécke	Splek@
splécken	Splek@n
splitter	Split6
sport	SpORt
sportlech	SpORtl@s\
spottnumm	Spotnum
sprangbur	SpRANbu:R
sprange	SpRAN@
sprangen	SpRAN@n
sprangseel	SpRANze:l
sprechzëmmer	SpR{s\ts@m6
spréif	SpR3If
sprenz	SpR{nts
sprëtz	SpR@ts
sprëtze	SpR@ts@
sprëtzen	SpR@ts@n
sprinkler	SpRiNkl6
sprock	SpRok
spronk	SpRoNk
sprooch	SpRo:X
spruddele	SpRud@l@
spruddeleg	SpRud@l@s\
spruddelen	SpRud@l@n
spruddelwaasser	SpRud@lva:s6
sprutze	SpRuts@
sprutzen	SpRuts@n
spuenesch	Spu@n@S
spuenie	Spu@ni@
spuenien	Spu@ni@n
spuerbéchs	Spu6beks
spuere	Spu@R@
spueren	Spu@R@n
spuerkeess	Spu6ke:s
spuervull	Spu6ful
spuet	Spu@t
spull	Spul
spulle	Spul@
spullen	Spul@n
spullmaschinn	SpulmASin
spullomp	Spullomp
spullstee	SpulStee
spullsteen	SpulSteen
spur	Spu:R
sputt	Sput
staang	Sta:N
staark	Sta:Rk
staatsrot	Sta:tsRo:t
stäbercher	StE:b6s\6
stabill	StAbil
stachel	StAX@l
stack	StAk
stackfësch	StAkf@S
stad	Sta:t
stage	sta:S
stäil	St{:Il
stäip	St{:Ip
stäipe	St{:Ip@
stäipen	St{:Ip@n
stall	StAl
stallhale	StAlha:l@
stallhalen	StAlha:l@n
stamm	StAm
standard	stA~:nda:R
stär	StE:R
starte	Sta:Rt@
starten	Sta:Rt@n
starter	Sta:Rt6
stat	Sta:t
statu	Sta:tu:
stau	StAU
staubsauger	St{:UbzAUg6
staumauer	StAUmAU6
staune	StAUn@
staunen	StAUn@n
stauséi	StAUz3I
staut	St{:Ut
stëbs	St@ps
stëbse	St@ps@
stëbsen	St@ps@n
stëbsfatz	St@psfAts
stëbslomp	St@pslomp
stéck	Stek
steckdous	St{kd@Us
stecker	St{k6
stéckseg	Steks@s\
stee	Ste:
steekaul	Ste:kAUl
steemetzer	Ste:m{ts6
steen	Ste:n
steier	StAI6
stéier	St3I6
stéiere	St3I@R@
stéieren	St3I@R@n
steif	StAIf
stéifkand	St3IfkAnt
stéifmamm	St3IfmAm
stéifpapp	St3IfpAp
steiwe	StAIv@
steiwen	StAIv@n
stëll	St@l
stelle	St{l@
stellen	St{l@n
stelz	St{lts
stëmm	St@m
stëmme	St@m@
stëmmen	St@m@n
stëmmung	St@muN
stempel	St{mp@l
stempele	St{mp@l@
stempelen	St{mp@l@n
stenge	St{N@
stengen	St{N@n
sténke	SteNk@
sténken	SteNk@n
stënterlech	St@nt6l@s\
stëppche	St@ps\@
stëppchen	St@ps\@n
steppe	St{p@
stëppele	St@p@l@
stëppelen	St@p@l@n
steppen	St{p@n
steriliséiere	SteRiliz3I@R@
steriliséieren	SteRiliz3I@R@n
stiedche	Sti@ts\@
stiedchen	Sti@ts\@n
stiele	Sti@l@
stielen	Sti@l@n
stierme	Sti6m@
stiermen	Sti6m@n
stierwe	Sti6v@
stierwen	Sti6v@n
stierze	Sti6ts@
stierzen	Sti6ts@n
stiichte	Sti:s\t@
stiichten	Sti:s\t@n
still	Stil
stitzche	Stitsj@
stitzchen	Stitsj@n
stiwwel	Stiv@l
stodéiere	Stod3I@R@
stodéieren	Stod3I@R@n
stodent	Stod{nt
stoe	Sto:@
stoen	Sto:@n
stoff	Stof
stol	Sto:l
stolpere	Stolp@R@
stolperen	Stolp@R@n
stomm	Stom
stompeg	Stomp@s\
stonn	Ston
stonnelaang	Ston@la:N
stop	Stop
stopp	Stop
stoppe	Stop@
stoppen	Stop@n
stoppenzéier	Stop@nts3I6
stopschëld	StopS@lt
storch	StORs\
store	stO:R
stot	Sto:t
stousse	St@Us@
stoussen	St@Us@n
sträiche	StR{:Is\@
sträichen	StR{:Is\@n
sträif	StR{:If
sträit	StR{:It
stral	StRa:l
strapp	StRAp
strass	StRAs
strauch	StR{:UX
strauss	StR{:Us
stréch	StR@s\
streckbriet	StR{kbRi@t
strecke	StR{k@
strécke	StRek@
stréckel	StRek@l
strecken	StR{k@n
strécken	StRek@n
stréckleeder	StRekle:d6
streech	StRe:s\
streeën	StRe@n
stréi	StR3I
stréiballe	StR3IbAl@
stréiballen	StR3IbAl@n
streide	StRAId@
streiden	StRAId@n
streidereg	StRAId@R@s\
stréihutt	StR3Ihut
streik	StRAIk
stréile	StR3Il@
stréilen	StR3Il@n
strëmp	StR@mp
streng	StR{N
strenz	StR{nts
strof	StRo:f
strofe	StRo:f@
strofen	StRo:f@n
strooss	StRo:s
stroossekaart	StRo:s@ka:Rt
stroosseluucht	StRo:s@lu:Xt
stroosseschëld	StRo:s@S@lt
stroum	StR@Um
strummert	StRum6t
stuckele	Stuk@l@
stuckelen	Stuk@l@n
studéiere	Stud3I@R@
studéieren	Stud3I@R@n
student	Stud{nt
stuerke	Stu6k@
stuerken	Stu6k@n
stuerm	Stu6m
stuff	Stuf
stull	Stul
stulldreiwend	StuldRAIv@nt
stur	Stu:R
stylo	stilo:
suckel	zuk@l
suckele	zuk@l@
suckelen	zuk@l@n
süde	zy:d@
süden	zy:d@n
sue	zu:@
suedel	zu@d@l
suel	zu@l
suen	zu@n
suerg	zu6s\
suerge	zu6z\@
suergen	zu6z\@n
suggeréiere	sygZeR3I@R@
suggeréieren	sygZeR3I@R@n
sujet	syZe:
sujete	syZe:@
summer	zum6
summerwee	zum6we:
super	zup6
supp	zup
suppeg	zup@s\
suppel	sup@l
surfe	s9:Rf@
surfen	s9:Rf@n
surveillant	syRvE:jA~:
sympathesch	simpa:t@S
taart	ta:Rt
taaschte	ta:St@
taaschten	ta:St@n
tabell	tAb{l
tableau	tAblo:
tablette	tAbl{t
tabouret	tAbuRe:
tachtele	tAXt@l@
tachtelen	tAXt@l@n
tafel	ta:f@l
taille	tAIl
talent	tAl@nt
tallek	tAlek
tank	tANk
tanke	tANk@
tanken	tANk@n
tankwon	tANkvo:n
tapéit	tAp3It
tarnung	tARnuN
tas	ta:s
täsch	t{S
täscheluucht	t{S@lu:Xt
täschemesser	t{S@m{s6
tässele	t{s@l@
tässelen	t{s@l@n
tatsächlech	ta:tz{s\l@s\
tatta	tAta:
tatz	tAts
taucher	t{:UX6
tausche	t{:US@
tauschen	t{:US@n
taxi	tAksi:
techniker	t{s\nik6
técke	tek@
técken	tek@n
teenager	ti:n3IdZ6
téi	t3I
téitsch	t3ItS
tëlee	t@le:
telefon	t@l@fon
telefonéiere	t@l@fon3I@R@
telefonéieren	t@l@fon3I@R@n
telefonsbuch	t@l@fonsbuX
telefonsnummer	t@l@fonsnum6
telegramm	t@l@gRAm
teleskop	tel{sko:p
televisioun	t@l@vizj@Un
teller	t{l6
tellerche	t{l6s\@
tellerchen	t{l6s\@n
tëmpche	t@mps\@
tëmpchen	t@mps\@n
temperatur	t{mp@RAtu:R
tendenz	t{nd{nts
tennis	t{nis
tënt	t@nt
teppech	t{p@s\
termäin	tERm{:In
terrain	t{RE~:
terrass	t{RAs
tëschent	t@S@nt
tëschewand	t@S@vAnt
text	t{kst
theater	tea:t6
thermometer	tERmome:t6
thon	tA~:
thüringer	tyRiN6
ticket	tike:
ticketsautomat	tike:zAUtoma:t
tierkele	ti6k@l@
tierkelen	ti6k@l@n
tiger	ti:g6
timber	tE~:mb6
tipp	tip
tippe	tip@
tippen	tip@n
tiptop	tiptop
tirang	tiRAN
tirebouchon	ti6buSA~:
titel	tit@l
toast	toUst
toaster	toUst6
tobe	to:b@
toben	to:b@n
toilette	twAl{t
toilettepabeier	twAl{t@pAbAI6
toleréiere	tol@R3I@R@
toleréieren	tol@R3I@R@n
tomat	toma:t
tomatejus	toma:t@jy:
tommel	tom@l
tommele	tom@l@
tommelen	tom@l@n
tompe	tomp@
tompen	tomp@n
topeg	to:p@s\
topert	to:p6t
torschong	tORSoN
tosch	toS
toun	t@Un
tour	tu:R
tourist	tuRist
tous	tus
toz	to:ts
toze	to:ts@
tozen	to:ts@n
traditionell	tRAditjon{l
training	tRE:niN
träip	tR{:Ip
träipe	tR{:Ip@
träipen	tR{:Ip@n
trakter	tRAkt6
tram	tRAm
trampele	tRAmp@l@
trampelen	tRAmp@l@n
träntele	tR{nt@l@
träntelen	tR{nt@l@n
trap	tRa:p
trapez	tRApe:ts
trapp	tRAp
tratt	tRAt
traue	tRAU@
trauen	tRAU@n
trauer	tRAU6
trauerweid	tRAU6vAIt
traufel	tR{:Uf@l
traureg	tRAUR@s\
trausch	tR{:US
treffe	tR{f@
treffen	tR{f@n
trei	tRAI
treiheet	tRAIhe:t
tréin	tR3In
tréischte	tR3ISt@
tréischten	tR3ISt@n
trëlle	tR@l@
trëllen	tR@l@n
trëndel	tR@nd@l
trenne	tR{n@
trennen	tR{n@n
trennung	tR{nuN
trëppele	tR@p@l@
trëppelen	tR@p@l@n
trepplek	tR{plek
trëttbriet	tR@tbRi@t
trëtz	tR@ts
trëtze	tR@ts@
trëtzen	tR@ts@n
trick	tRik
triichter	tRi:s\t6
tripsen	tRips@n
triwwele	tRiv@l@
triwwelen	tRiv@l@n
tromm	tRom
trommelfell	tRom@lf{l
trompett	tRomp{t
troter	tRo:t6
trottinette	tRotin{t
trottoir	tRotwa:R
trottoiren	tRotwa:R@n
trotz	tRots
trotzdem	tRotsde:m
trotze	tRots@
trotzeg	tRots@s\
trotzen	tRots@n
troun	tR@Un
trouscht	tR@USt
truh	tRu:
trupp	tRup
tsunami	tsuna:mi:
tubak	tuba:k
tuddele	tud@l@
tuddelen	tud@l@n
tuerm	tu6m
tulp	tulp
tunnel	tun{l
tuppi	tupi:
turbot	tyRbo:
turne	tuRn@
turnen	tuRn@n
turner	tuRn6
turnschlapp	tuRnSlAp
tuschbic	tuSbik
tut	tu:t
tute	tu:t@
tuten	tu:t@n
typ	tip
ubanne	ubAn@
ubannen	ubAn@n
übe	y:b@
üben	y:b@n
ubezuele	ub@tsu@l@
ubezuelen	ub@tsu@l@n
ubidde	ubid@
ubidden	ubid@n
ubiede	ubi@d@
ubieden	ubi@d@n
uboot	u:bo:t
übung	y:buN
uebst	u@bst
uebstpress	u@bstpR{s
uechter	u@s\t6
uechzeg	u@s\ts@s\
uechzéng	u@s\tseN
uelech	u@l@s\
uerdentlech	u6d@ntl@s\
uerdnung	u6dnuN
uerg	u6s\
uerteel	u6te:l
uertschaft	u6tSAft
uess	u@s
ueter	u@t6
uewe	u@v@
uewen	u@v@n
uewenop	u@v@nop
ufänger	uf{N6
ufank	ufANk
ufänke	uf{Nk@
ufänken	uf{Nk@n
ufer	u:f6
ufuere	ufu@R@
ufueren	ufu@R@n
ugeklote	ug@klo:t@
ugekloten	ug@klo:t@n
ugesi	ug@zi
ugesinn	ug@zin
ugi	ugi
uginn	ugin
uglotze	uglots@
uglotzen	uglots@n
ugoe	ugo:@
ugoen	ugo:@n
ugräife	ugR{:If@
ugräifen	ugR{:If@n
ugrëff	ugR@f
ugrëffeg	ugR@f@s\
ugrëffer	ugR@f6
ukënnege	uk@n@z\@
ukënnegen	uk@n@z\@n
uklo	uklo:
ukloe	uklo:@
ukloen	uklo:@n
ukomme	ukom@
ukommen	ukom@n
ukräize	ukR{:Its@
ukräizen	ukR{:Its@n
ulackele	ulAk@l@
ulackelen	ulAk@l@n
uleeën	ule:@n
ulm	ulm
um	um
umeldung	um{lduN
umelle	um{l@
umellen	um{l@n
umoosse	umo:s@
umoossen	umo:s@n
undoe	undo:@
undoen	undo:@n
undrécke	undRek@
undrécken	undRek@n
unerkenne	un6k{n@
unerkennen	un6k{n@n
unhale	unha:l@
unhalen	unha:l@n
unhaltspunkt	unhAltspuNkt
unhänger	unh{N6
unhänglech	unh{Nl@s\
unhänglechkeet	unh{Nl@s\ke:t
unhänke	unh{Nk@
unhänken	unh{Nk@n
unhu	unhu
unhuele	unhu@l@
unhuelen	unhu@l@n
unhunn	unhun
uniform	unifORm
upake	upa:k@
upaken	upa:k@n
upasse	upAs@
upassen	upAs@n
upassung	upAsuN
uplanze	uplAnts@
uplanzen	uplAnts@n
ureege	uRe:z\@
ureegen	uRe:z\@n
uriede	uRi@d@
urieden	uRi@d@n
urmënsch	u:Rm@nS
ursaach	u:Rza:X
ursprénglech	u:RSpReNl@s\
uruffe	uRuf@
uruffen	uRuf@n
uschäin	uS{:In
uschäisse	uS{:Is@
uschäissen	uS{:Is@n
uschmiere	uSmi6@
uschmieren	uSmi6@n
usoe	uzo:@
usoen	uzo:@n
ustieche	uSti@s\@
ustiechen	uSti@s\@n
ustiechend	uSti@s\@nt
ustiwwele	uStiv@l@
ustiwwelen	uStiv@l@n
ustrach	uStRAX
usträiche	uStR{:Is\@
usträichen	uStR{:Is\@n
usträicher	uStR{:Is\6
ustrécke	uStRek@
