#######################
##
## License goes here
##
#######################
a	A
ausrutschen	{:UsRutS@n
ausschëdde	{:UsS@d@
ausschëdden	{:UsS@d@n
ausschlaggebend	{:UsSla:Xge:b@nt
ausschlaggebende	{:UsSla:Xge:b@nd@
ausschlaggebendem	{:UsSla:Xge:b@nd@m
ausschlaggebenden	{:UsSla:Xge:b@nd@n
ausschlofe	{:UsSlo:fe
ausschlofen	{:UsSlo:fen
ausschnëtt	{:UsSn@t
ausseministerinne	{:Us@minist@Rin@
ausser	{:Us6
aussergewéinlech	{:Us6g@v3Inl@s\
äusserlech	oIs6l@s\
ausseruerdentlech	{:Us6u6d@ntl@s\
ausseruerdentleche	{:Us6u6d@ntl@s\@
ausseruerdentlechem	{:Us6u6d@ntl@s\@m
ausseruerdentlechen	{:Us6u6d@ntl@s\@n
ausseruerdentlecher	{:Us6u6d@ntl@s\6
ausseruerdentlechst	{:Us6u6d@ntl@s\st
äusserung	oIs6RuN
aussesäiterinne	{:Usz@z{:It@Rin@
ausso	{:Uszo:
ausspane	{:UsSpa:n@
ausspanen	{:UsSpa:n@n
aussprieche	{:UsSpRi@s\@
ausspriechen	{:UsSpRi@s\@n
aussprooch	{:UsSpRo:X
ausstelle	{:UsSt{l@
ausstellen	{:UsSt{l@n
ausstellerinne	{:UsSt{l@Rin@
ausstellung	{:UsSt{luN
ausstierwe	{:UsSti@v@
ausstierwen	{:UsSti@v@n
auswäiche	{:Usv{:Is\@
auswäichen	{:Usv{:Is\@n
auswanderinne	{:UsvAnd@Rin@
auswenneg	{:Usv{n@s\
auswësche	{:Usv@S@
auswëschen	{:Usv@S@n
auswiel	{:Usvi@l
auszedoe	{:Usts@do:@
auszepake	{:Usts@pa:k@
autant	o:tA~:
auteur	o:t9:R
auto	AUto:
autobunn	AUto:bun
autobunnssortie	AUto:bunssORti:
autofuerer	AUto:fu@R6
automobilistinne	AUto:mobilistin@
autorinne	AUto:Rin@
avancen	AvA~:s@n
avantage	AvA~:ta:S
avenue	Av@ny:
avenuen	Av@ny:@n
averstan	Af6Sta:n
avertéieren	Av{Rt3I@R@n
avertéiers	Av{Rt3I6s
avis	Avi:
avise	Avi:@
avisen	Avi:@n
awanderinne	AvAnd@Rin@
awar	Ava:R
aweeche	Ave:s\@
aweechen	Ave:s\@n
